Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,
"4113 21MAY11 , TFL TOM , WATERLOO E GB - POS",5/23/11,15.00,Debit,123596,502.05,,,,,,,,
"4113 20MAY11 , FIRE &amp; STONE , LONDON GB - POS",5/23/11,37.18,Debit,123597,464.87,,,,,,,,
"4113 19MAY11 , PITCHER &amp; PIANO , CORNHILL GB - POS",5/23/11,17.60,Debit,123598,447.27,,,,,,,,
"4113 20MAY11 , LONDON THEATRE BOX, OFF , LONDON W1V GB - POS",5/23/11,56.00,Debit,123599,391.27,,,,,,,,
NATWEST 20MAY - ATM,5/23/11,50.00,Debit,123600,341.27,,,,,,,,
"4113 22MAY11 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",5/23/11,10.00,Debit,123601,331.27,,,,,,,,
"4113 22MAY11 , SAINSBURYS SUPERMA, GREENWICH GB - POS",5/24/11,53.76,Debit,123602,277.51,,,,,,,,
"4113 24MAY11 , WCC COUNCIL TAX , WESTMINSTER GB - POS",5/25/11,168.84,Debit,123603,108.67,,,,,,,,
"4113 24MAY11 , WATERAID , INTERNET GB - POS",5/25/11,5.00,Debit,123604,103.67,,,,,,,,
"4113 24MAY11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",5/25/11,12.95,Debit,123605,90.72,,,,,,,,
"CALL REF.NO. 0419 , KATE DALEY , FP 27/05/11 10 , 13175229397300000N - OTR",5/27/11,126.60,Debit,123606,-35.88,,,,,,,,
S THREE MGMT. SERV - BAC,5/27/11,"2,276.57",Credit,123607,"2,240.69",,,,,,,,
"4113 25MAY11 , PAYPAL , *SUSANMASSEY , 35314369001 GB - POS",5/27/11,83.00,Debit,123608,"2,157.69",,,,,,,,
"4113 29MAY11 , DESPERADOS , LONDON GB - POS",5/31/11,15.30,Debit,123609,"2,142.39",,,,,,,,
"4113 29MAY11 , PUTNEY FEZ , LONDON GB - POS",5/31/11,29.20,Debit,123610,"2,113.19",,,,,,,,
"4113 30MAY11 , SAINSBURY'S SMKT , UPPER STREET GB - POS",5/31/11,3.06,Debit,123611,"2,110.13",,,,,,,,
